,abstract,pub_date,document_type,news_desk,section_name,type_of_material,keywords
59,"A haunting horror novel set a century ago in the American West, Eleanor Catton’s first novel in a decade, a Ukrainian war diary and much more.",2023-03-01T10:00:54+0000,article,Weekend,Books,News,"['BOOKS AND LITERATURE', 'BIOGRAPHY OF X (BOOK)', 'LACEY, CATHERINE', 'BIRNAM WOOD (BOOK)', 'CATTON, ELEANOR', 'FLUX (BOOK)', 'CHONG, JINWOO', 'HELLO BEAUTIFUL (BOOK)', 'NAPOLITANO, ANN (AUTHOR)', 'HUMANLY POSSIBLE: SEVEN HUNDRED YEARS OF HUMANIST FREETHINKING, INQUIRY, AND HOPE (BOOK)', 'BAKEWELL, SARAH', 'LONE WOMEN (BOOK)', 'LAVALLE, VICTOR D', 'THE NEW EARTH (BOOK)', 'ROW, JESS (1974- )', 'WALDSTREICHER, DAVID', 'JACKSON, JENNY (1979- )', 'POVERTY, BY AMERICA (BOOK)', 'DESMOND, MATTHEW S (1980- )', 'SAVING TIME: DISCOVERING A LIFE BEYOND THE CLOCK (BOOK)', 'ODELL, JENNY', 'SKINFOLK: A MEMOIR (BOOK)', 'GUTERL, MATTHEW PRATT', 'THE UNDERTOW: SCENES FROM A SLOW CIVIL WAR (BOOK)', 'SHARLET, JEFF', 'WAR DIARY (BOOK)', 'NISSAN, GREG', 'BELORUSETS, YEVGENIA']"
60,Is having all of life’s amenities within a 15-minute walk convenient? Or is it a government leash? We explain.,2023-03-01T10:30:07+0000,article,Express,World,News,"['AREA PLANNING AND RENEWAL', 'QUARANTINE (LIFE AND CULTURE)', 'RUMORS AND MISINFORMATION', 'CONSPIRACY THEORIES', 'URBAN AREAS', 'ROADS AND TRAFFIC', 'BICYCLES AND BICYCLING', 'OXFORD (ENGLAND)', 'PARIS (FRANCE)', 'HIDALGO, ANNE (1959- )', 'WORLD ECONOMIC FORUM', 'SUSTAINABLE LIVING']"
61,"From the arrival of John Galliano at Dior to the murder of Gianni Versace, a new museum show in Paris looks at how 1997 changed fashion — forever.",2023-03-01T10:53:36+0000,article,Styles,Style,News,"['FASHION AND APPAREL', 'NINETEEN HUNDRED NINETIES', 'MUSEE GALLIERA', 'LUXURY GOODS AND SERVICES', 'ALEXANDER MCQUEEN LTD', 'CELINE (FASHION LABEL)', 'CHRISTIAN DIOR SA', 'COMME DES GARCONS', 'FENDI SPA', 'GAULTIER, JEAN PAUL (FASHION LABEL)', 'LVMH MOET HENNESSY LOUIS VUITTON SA', 'KORS, MICHAEL', 'MCQUEEN, ALEXANDER', 'PARIS (FRANCE)', 'YOUR-FEED-FASHION']"
62,A lawsuit could force the F.D.A. to revoke its approval of the two main drugs used for medication abortion in the United States.,2023-03-01T11:00:12+0000,article,Podcasts,Podcasts,News,"['AUDIO-NEUTRAL-INFORMATIVE', 'ABORTION', 'ABORTION DRUGS', 'MIFEPREX (RU-486)', 'SUITS AND LITIGATION (CIVIL)', 'DECISIONS AND VERDICTS', 'POLITICS AND GOVERNMENT', 'INTERNATIONAL RELATIONS', 'RUSSIAN INVASION OF UKRAINE (2022)', 'TELEVISION', 'FOOD AND DRUG ADMINISTRATION', 'BIDEN, JOSEPH R JR']"
63,"With more than 2,800 new housing units approved in the last three years, ‘Port Chester is certainly on the move.’ Not everyone is happy about it.",2023-03-01T11:00:17+0000,multimedia,Real Estate,Real Estate,Slideshow,"['REAL ESTATE AND HOUSING (RESIDENTIAL)', 'PORT CHESTER (NY)']"
64,"With more than 2,800 new housing units approved in the last three years, ‘Port Chester is certainly on the move.’ Not everyone is happy about it.",2023-03-01T11:00:20+0000,article,RealEstate,Real Estate,News,"['REAL ESTATE AND HOUSING (RESIDENTIAL)', 'PORT CHESTER (NY)']"
65,"After a crime surge, Chicago voters have ousted their current mayor.",2023-03-01T11:41:11+0000,article,NYTNow,Briefing,briefing,"['ELECTIONS', 'ELECTIONS, MAYORS', 'CHICAGO (ILL)']"
66,Valentin Loellmann shares his home with the trees that inspire his work.,2023-03-01T12:00:12+0000,article,TStyle,T Magazine,News,"['LOELLMANN, VALENTIN', 'MAASTRICHT (NETHERLANDS)', 'INTERIOR DESIGN AND FURNISHINGS', 'TABLES', 'TREES AND SHRUBS', 'GARDENS AND GARDENING']"
67,The software giant faces mounting pressure from activist investors and pushback from employees unhappy about a wave of firings and the scaling back of office perks.,2023-03-01T13:01:12+0000,article,Business,Business Day,News,"['INTERNAL-STORYLINE-NO', 'COMPANY REPORTS', 'STOCKS AND BONDS', 'ENERGY DEPARTMENT', 'GOLDMAN SACHS GROUP INC', 'MARCUS BY GOLDMAN SACHS', 'STRIVE ASSET MANAGEMENT', 'ENVIRONMENTAL PROTECTION AGENCY', 'SALESFORCE.COM INC', 'VALUEACT CAPITAL PARTNERS', 'SUPREME COURT (US)', 'BENIOFF, MARC', 'GENSLER, GARY S', 'MCCONAUGHEY, MATTHEW', 'MUSK, ELON', 'SINGH, NISHAD', 'SOLOMON, DAVID M']"
68,"It is rare for jurors to visit crime scenes, and doing so can be a risk for both the prosecution and defense. Closing arguments were scheduled for later on Wednesday.",2023-03-01T13:30:13+0000,article,National,U.S.,News,"['MURDERS, ATTEMPTED MURDERS AND HOMICIDES', 'JURY SYSTEM', 'MURDAUGH, ALEX (1968- )', 'MURDAUGH, MARGARET (D 2021)', 'MURDAUGH, PAUL (D 2021)', 'ISLANDTON (SC)', 'SOUTH CAROLINA']"
